"","iso_ref","gene_ref","isoform_id","gene_id","gene_name","condition_1","condition_2","IF1","IF2","dIF","isoform_switch_q_value","Rank"
"42","isoComp_00024897","geneComp_00006753","ENSMUST00000229203","Fam118a","Fam118a","S7","U2",0.178,0.07,-0.108,1.23420666647344e-06,42
"43","isoComp_00075042","geneComp_00025759","ENSMUST00000031349","Snrnp35","Snrnp35","S7","U2",0.83,0.71,-0.119,1.38372088717508e-06,43
"44","isoComp_00065075","geneComp_00023312","ENSMUST00000109703","Pxmp4","Pxmp4","S7","U2",0.519,0.342,-0.178,1.62921022567045e-06,44
"45","isoComp_00028678","geneComp_00007701","ENSMUST00000162562","Glyctk","Glyctk","S7","U2",0,0.173,0.173,1.81739514919224e-06,45
"46","isoComp_00058491","geneComp_00021813","ENSMUST00000123555","Parp3","Parp3","S7","U2",0.542,0.437,-0.105,1.88157804250358e-06,46
"47","isoComp_00076519","geneComp_00026116","ENSMUST00000041500","Srxn1","Srxn1","S7","U2",0.904,0.8,-0.104,2.65737813614777e-06,47
"48","isoComp_00046956","geneComp_00018855","ENSMUST00000192561","Lin9","Lin9","S7","U2",0.872,0.972,0.101,3.29767136023684e-06,48
"49","isoComp_00000099","geneComp_00000038","ENSMUST00000172501","1110038B12Rik","1110038B12Rik","S7","U2",0.37,0.515,0.146,4.01655348689124e-06,49
"50","isoComp_00026823","geneComp_00007221","ENSMUST00000025850","Fosl1","Fosl1","S7","U2",0.516,0.319,-0.197,7.05803230031927e-06,50
"51","isoComp_00009734","geneComp_00002958","ENSMUST00000121138","BC025920","BC025920","S7","U2",0,0.105,0.105,1.1730292386977e-05,51
"52","isoComp_00052198","geneComp_00020082","ENSMUST00000173685","Msh5","Msh5","S7","U2",0.186,0,-0.186,1.60856654806212e-05,52
"53","isoComp_00066067","geneComp_00023517","ENSMUST00000101206","Rapgef6","Rapgef6","S7","U2",0.106,0,-0.106,1.71058107529186e-05,53
"54","isoComp_00077002","geneComp_00026206","ENSMUST00000004145","Stat5a","Stat5a","S7","U2",0.104,0.308,0.204,2.64763376173436e-05,54
"55","isoComp_00052535","geneComp_00020159","ENSMUST00000186721","Mthfsl","Mthfsl","S7","U2",0.102,0.253,0.15,6.08042896097159e-05,55
"56","isoComp_00069273","geneComp_00024355","ENSMUST00000169826","Rps24","Rps24","S7","U2",0.539,0.664,0.124,6.09644216405277e-05,56
"57","isoComp_00005078","geneComp_00001913","ENSMUST00000068271","Ak1","Ak1","S7","U2",0.629,0.745,0.116,7.71502048305978e-05,57
"58","isoComp_00061713","geneComp_00022546","ENSMUST00000217836","Pmel","Pmel","S7","U2",0.125,0,-0.125,8.41629830825187e-05,58
"59","isoComp_00011216","geneComp_00003383","ENSMUST00000052602","C77080","C77080","S7","U2",0.563,0.435,-0.128,9.86306382322645e-05,59
"60","isoComp_00064169","geneComp_00023128","ENSMUST00000034369","Psmb10","Psmb10","S7","U2",0.306,0.423,0.117,0.000145633024446719,60
"61","isoComp_00082119","geneComp_00027338","ENSMUST00000129074","Tns3","Tns3","S7","U2",0.422,0.28,-0.142,0.000153853932287902,61
"62","isoComp_00011217","geneComp_00003383","ENSMUST00000097873","C77080","C77080","S7","U2",0.402,0.547,0.145,0.000161834828934538,62
"63","isoComp_00052533","geneComp_00020159","ENSMUST00000113110","Mthfsl","Mthfsl","S7","U2",0.834,0.688,-0.146,0.000161995532961235,63
"64","isoComp_00072306","geneComp_00025085","ENSMUST00000113054","Shroom3","Shroom3","S7","U2",0.601,0.748,0.147,0.000194525736923847,64
"65","isoComp_00063887","geneComp_00023050","ENSMUST00000069817","Prrc2b","Prrc2b","S7","U2",0.426,0.538,0.112,0.000280364182596077,65
"66","isoComp_00080692","geneComp_00026988","ENSMUST00000204353","Tmcc1","Tmcc1","S7","U2",0.224,0.096,-0.127,0.000304251637771521,66
"67","isoComp_00089891","geneComp_00029160","ENSMUST00000077422","Zfp661","Zfp661","S7","U2",0.738,0.898,0.16,0.000305751466018688,67
"68","isoComp_00049122","geneComp_00019375","ENSMUST00000101347","Mat2b","Mat2b","S7","U2",0.366,0.481,0.115,0.00030871223420434,68
"69","isoComp_00026791","geneComp_00007216","ENSMUST00000107147","Focad","Focad","S7","U2",0.463,0.288,-0.175,0.000401003326920992,69
"70","isoComp_00052994","geneComp_00020270","ENSMUST00000218127","Myl6","Myl6","S7","U2",0.317,0.483,0.167,0.000477060654904339,70
"71","isoComp_00085560","geneComp_00028079","ENSMUST00000101525","Upp1","Upp1","S7","U2",0.662,0.832,0.17,0.000477060654904339,71
"72","isoComp_00071140","geneComp_00024823","ENSMUST00000205822","Sema4b","Sema4b","S7","U2",0.587,0.462,-0.124,0.000616555851194644,72
"73","isoComp_00052989","geneComp_00020270","ENSMUST00000164181","Myl6","Myl6","S7","U2",0.639,0.468,-0.171,0.000680258000355142,73
"74","isoComp_00071137","geneComp_00024823","ENSMUST00000032754","Sema4b","Sema4b","S7","U2",0.407,0.53,0.124,0.000728646029091412,74
"75","isoComp_00050562","geneComp_00019661","ENSMUST00000112105","Mid1","Mid1","S7","U2",0.291,0.186,-0.105,0.000842594844871682,75
"76","isoComp_00089893","geneComp_00029160","ENSMUST00000110368","Zfp661","Zfp661","S7","U2",0.206,0.039,-0.168,0.000860196101712184,76
"77","isoComp_00079732","geneComp_00026783","ENSMUST00000111717","Tfpi","Tfpi","S7","U2",0,0.126,0.126,0.000926601325391568,77
"78","isoComp_00050561","geneComp_00019661","ENSMUST00000112104","Mid1","Mid1","S7","U2",0.189,0.298,0.11,0.000991784644280125,78
"79","isoComp_00021635","geneComp_00005864","ENSMUST00000100705","Dusp14","Dusp14","S7","U2",0.388,0.536,0.148,0.00101646336780667,79
"80","isoComp_00026790","geneComp_00007216","ENSMUST00000097992","Focad","Focad","S7","U2",0.491,0.652,0.161,0.00102823948622216,80
"81","isoComp_00013352","geneComp_00003920","ENSMUST00000018918","Cd68","Cd68","S7","U2",0.917,0.781,-0.135,0.00106372547924531,81
"82","isoComp_00069878","geneComp_00024512","ENSMUST00000006750","Rundc3a","Rundc3a","S7","U2",0.409,0.913,0.504,0.0011683898803949,82
